Model,Architecture,Fold,CV_Score,Test_Accuracy,F1_Macro,F1_Weighted,Precision,Recall,Type
resnet18 (Fold 1),resnet18,1,78.125,70.0,0.6986324786324786,0.7074145299145299,0.7833333333333333,0.6844155844155845,Individual
efficientnet_b2 (Fold 2),efficientnet_b2,2,84.375,77.5,0.750667578035999,0.784440647072226,0.8133333333333332,0.7389610389610389,Individual
resnet34 (Fold 3),resnet34,3,90.625,67.5,0.6146464646464647,0.6450126262626263,0.7138461538461539,0.6246753246753247,Individual
mobilenetv2_100 (Fold 4),mobilenetv2_100,4,78.125,60.0,0.584313725490196,0.5946078431372548,0.6366666666666666,0.5828282828282828,Individual
efficientnet_b2 (Fold 5),efficientnet_b2,5,83.87096774193549,70.0,0.6876767676767676,0.6897474747474748,0.7317782217782218,0.7011544011544011,Individual
Ensemble,Ensemble,All,83.0241935483871,72.5,0.7023809523809523,0.7211309523809524,0.7742857142857142,0.6922077922077923,Ensemble
