Class,F1-Score,Precision,Recall
0.5,1.0,1.0,1.0
1.5,0.8148148148148148,0.7333333333333333,0.9166666666666666
2.5,0.375,0.3333333333333333,0.42857142857142855
3.5,0.5,1.0,0.3333333333333333
4.5,1.0,1.0,1.0
5.5,0.8695652173913043,0.9090909090909091,0.8333333333333334
